"verb_meaning","verb_level","verb_infinitive","verb_id","verb_simple_past","verb_past_participle","verb_category","verb_types","verb_examples","verb_path_img"
"Aceptar",0,"accept",1,"accepted","accepted","R","regular","I accept this conditions from you-_-I can't accept your money",""
"Agregar",0,"add",2,"added","added","R","regular","She add the milk to her cereal",""
"Aterrizar / Desmontar",9,"alight",3,"Alit / Alighted","Alit / Alighted","D2","irregular","",""
"Surgir / Levantarse",9,"arise",4,"arose","arisen","E","Irregular","",""
"Preguntar",0,"ask",5,"asked","asked","R","regular","",""
"Despertar",10,"awake",6,"awoke","awoken","E","Irregular","",""
"Ser / Estar",10,"be",7,"was / were","been","E","irregular-_-helping-primary","",""
"Soportar / Aguantar",10,"bear",8,"bore","born / borned","E","irregular","",""
"Vencer",4,"beat",9,"beat","beaten","B","irregular","",""
"Convertirse",4,"become",10,"became","become","C","irregular","",""
"Comenzar",10,"begin",11,"began","begun","E","irregular","",""
"Contemplar",4,"behold",12,"beheld","beheld","D","irregular","",""
"Doblar",4,"bend",13,"bent","bent","D","irregular","",""
"Apostar",1,"bet",14,"bet","bet","A","irregular","",""
"Enlazar",5,"bind",15,"bound","bound","D","irregular","",""
"Sangrar",5,"bleed",16,"bled","bled","D","irregular","",""
"Soplar",10,"blow",17,"blew","blown","E","irregular","",""
"Prestado",0,"borrow",18,"borrowed","borrowed","R","regular","",""
"Romper",10,"breake",19,"broke","broken","E","irregular","",""
"Criar / Educar",5,"breed",20,"bred","bred","D","irregular","",""
"Traer",5,"bring",21,"brought","brought","D","irregular","",""
"Transmitir",3,"broadcast",22,"broadcast / broadcasted","broadcast / broadcasted","A2","irregular","",""
"Cepillar",0,"brush",23,"brushed","brushed","R","regular","",""
"Construir",5,"build",24,"built","built","D","irregular","",""
"Quemar",3,"burn",25,"burnt / burned","burnt / burned","A2","irregular","",""
"Estallar",1,"burst",26,"burst","burst","A","irregular","",""
"Quebrar",1,"bust",27,"bust","bust","A","irregular","",""
"Comprar",5,"buy",28,"bought","bought","D","irregular","",""
"Llamar",0,"call",29,"called","called","R","regular","",""
"Emitir",1,"cast",30,"cast","cast","A","irregular","",""
"Atrapar / Agarrar",5,"catch",31,"cought","cought","D","irregular","",""
"Comprobar",0,"check",32,"checked","checked","R","regular","",""
"Escoger / Seleccionar",10,"choose",33,"chose","chosen","E","irregular","",""
"Limpiar",0,"clean",34,"cleaned","cleaned","R","regular","",""
"Subir, Escalar",0,"climb",35,"climbed","climbed","R","regular","",""
"Venir / Llegar",4,"come",36,"came","come","C","irregular","",""
"Cocinar",0,"cook",37,"cooked","cooked","R","regular","",""
"Costar",1,"cost",38,"cost","cost","A","irregular","",""
"Cubrir",1,"cover",39,"covered","covered","R","regular","",""
"Cruzar",1,"cross",40,"crossed","crossed","R","regular","",""
"Cortar",1,"cut",41,"cut","cut","A","irregular","",""
"Negociar",5,"deal",42,"dealt","dealt","D","irregular","",""
"Profundizar / Cavar",5,"dig",43,"dug","dug","D","irregular","",""
"Hacer",10,"do",44,"did","done","E","irregular","",""
"Dibujar / Arrastrar",10,"draw",45,"drew","drawn","E","irregular","",""
"Soñar",1,"dream",46,"dreamed","dreamed","R","regular","",""
"Vestir",1,"dress",47,"dressed","dressed","R","regular","",""
"Beber / Tomar",10,"drink",48,"drank","drunk","E","irregular","",""
"Conducir / Manejar",10,"drive",49,"drove","driven","E","irregular","",""
"Ganar",1,"earn",50,"earned","earned","R","regular","",""
"Comer",10,"eat",51,"ate","eaten","E","irregular","",""
"Terminar",1,"end",52,"ended","ended","R","regular","",""
"Disfrutar",1,"enjoy",53,"enjoyed","enjoyed","R","regular","",""
"Entrar",1,"enter",54,"entered","entered","R","regular","",""
"Explicar",1,"explain",55,"explained","explained","R","regular","",""
"Fallar",1,"fail",56,"failed","failed","R","regular","",""
"Caer / Descender",10,"fall",57,"fell","fallen","E","irregular","",""
"Alimentar",5,"feed",58,"fed","fed","D","irregular","",""
"Sentir",6,"feel",59,"felt","felt","D","irregular","",""
